time, ldr, temp, tsl2561, bh1750
,,,,
0,3340,32.3,72,75
2,3361,32.3,77,75
4,3357,32.3,77,75
6,3357,32.3,76,75.83
8,3346,32.3,73,73.33
10,3349,32.3,75,75
12,3349,32.3,75,74.17
14,3344,32.3,74,72.5
16,3357,32.3,76,74.17
18,3359,32.2,76,74.17
20,3349,32.3,75,73.33
22,3344,32.3,73,74.17
24,3333,32.3,70,75.83
26,3316,32.3,69,75
28,3311,32.3,68,75
30,3310,32.3,68,75.83
32,3312,32.3,68,75.83
34,3317,32.3,69,74.17
36,3324,32.3,70,75
38,3330,32.3,71,75.83
41,3334,32.3,73,75
43,3349,32.3,75,74.17
45,3357,32.3,76,75
47,3347,32.3,77,75
49,3355,32.3,76,74.17
51,3351,32.3,76,75
53,3349,32.3,75,75
55,3351,32.3,75,75
57,3344,32.3,74,73.33
59,3334,32.3,71,71.67
61,3342,32.3,73,74.17
63,3344,32.3,74,73.33
65,3362,32.3,78,76.67
67,3363,32.3,78,76.67
69,3359,32.3,78,75.83
71,3363,32.3,77,76.67
73,3351,32.3,76,76.67
75,3344,32.3,74,75.83
77,3333,32.3,72,75.83
79,3325,32.3,70,75.83
82,3318,32.3,69,76.67
84,3312,32.3,69,76.67
86,3312,32.3,69,75.83
88,3325,32.3,70,75.83
90,3344,32.3,74,75.83
92,3358,32.3,77,76.67
94,3354,32.3,77,76.67
96,3344,32.3,73,76.67
98,3319,32.3,69,75.83
100,3311,32.3,68,75.83
102,3323,32.3,70,75.83
104,3344,32.3,74,75.83
106,3347,32.3,77,76.67
108,3360,32.3,77,76.67
110,3339,32.3,73,76.67
112,3323,32.3,70,75.83
114,3312,32.3,68,75.83
116,3312,32.3,69,75.83
118,3327,32.3,70,75.83
120,3346,32.3,74,76.67
123,3359,32.3,76,76.67
125,3355,32.3,77,75.83
127,3358,32.3,77,75.83
129,3347,32.3,75,75.83
131,3331,32.3,71,76.67
133,3314,32.3,69,75.83
135,3312,32.3,68,75
137,3310,32.3,68,75.83
139,3315,32.3,70,75.83
141,3333,32.3,72,76.67
143,3355,32.3,76,76.67
145,3360,32.3,77,75.83
147,3344,32.3,75,75
149,3323,32.3,70,75
151,3312,32.3,69,75.83
153,3311,32.3,68,75.83
155,3328,32.3,70,76.67
157,3342,32.3,73,76.67
159,3353,32.3,77,75.83
161,3353,32.3,77,75
164,3344,32.3,74,75
166,3326,32.3,70,75.83
168,3312,32.3,69,75.83
170,3311,32.3,68,76.67
172,3332,32.3,69,75.83
174,3343,32.3,73,75.83
176,3356,32.3,76,75
178,3355,32.3,77,75
180,3342,32.3,73,75
182,3315,32.3,69,75.83
184,3306,32.3,68,75.83
186,3327,32.3,70,75.83
188,3349,32.3,75,76.67
190,3356,32.3,77,75.83
192,3343,32.3,73,75.83
194,3335,32.3,69,75
196,3311,32.3,68,75
198,3340,32.3,73,75
200,3354,32.3,77,75
202,3344,32.3,74,75
205,3315,32.3,69,75
207,3307,32.3,68,75.83
209,3319,32.3,69,75.83
211,3342,32.3,73,75.83
213,3349,32.3,76,75
215,3357,32.3,77,75
217,3349,32.3,75,75
219,3335,32.3,72,75.83
221,3315,32.3,70,75.83
223,3315,32.3,69,75.83
225,3310,32.3,68,75
227,3307,32.3,68,75
229,3297,32.3,68,75.83
231,3312,32.3,69,75.83
233,3314,32.3,69,75.83
235,3318,32.3,70,75
237,3335,32.3,71,75
239,3341,32.3,73,75.83
241,3345,32.3,75,75.83
243,3351,32.3,76,75.83
246,3354,32.3,76,75
248,3351,32.3,77,75
250,3354,32.3,76,75.83
252,3347,32.3,75,75.83
254,3334,32.3,73,75.83
256,3329,32.3,71,75
258,3322,32.3,70,75
260,3312,32.3,69,75
262,3312,32.3,69,75.83
264,3312,32.3,69,75.83
266,3312,32.3,68,75
268,3309,32.3,68,75
270,3311,32.3,68,75.83
272,3312,32.2,69,75.83
274,3312,32.3,69,75
276,3313,32.3,69,75
278,3325,32.3,70,75.83
280,3337,32.3,72,75
282,3344,32.3,75,75
284,3347,32.3,76,75.83
287,3357,32.3,77,75
289,3345,32.3,75,75.83
291,3337,32.3,72,75.83
293,3312,32.3,69,75
295,3310,32.3,68,75.83
297,3307,32.2,68,75
299,3314,32.2,69,75
301,3333,32.2,72,75.83
303,3348,32.2,75,75
305,3354,32.3,77,75
307,3349,32.3,75,75.83
309,3334,32.3,72,75
311,3315,32.3,69,75.83
313,3301,32.3,68,75.83
315,3305,32.3,68,75
317,3326,32.3,70,75.83
319,3343,32.3,74,75
321,3348,32.3,76,75
323,3351,32.3,76,75.83
325,3335,32.3,73,75
328,3318,32.3,69,75.83
330,3305,32.3,68,75.83
332,3299,32.3,68,75
334,3313,32.3,70,75.83
336,3337,32.3,72,75
338,3347,32.3,75,75
340,3357,32.3,77,75.83
342,3351,32.3,75,75
344,3335,32.3,72,75
346,3312,32.3,69,75.83
348,3309,32.3,67,75
350,3312,32.2,70,75.83
352,3343,32.3,75,75
354,3355,32.3,76,75
356,3344,32.2,73,75.83
358,3312,32.2,69,75
360,3303,32.2,68,75.83
362,3322,32.2,70,75
364,3344,32.3,74,75
366,3352,32.2,76,75.83
369,3351,32.3,76,75.83
371,3339,32.3,72,75.83
373,3318,32.3,69,75
375,3308,32.2,68,75.83
377,3312,32.3,69,75.83
379,3333,32.2,71,75
381,3354,32.2,75,75.83
383,3355,32.3,76,75
385,3343,32.2,73,75.83
387,3313,32.2,70,75
389,3306,32.2,68,75
391,3305,32.2,68,75.83
393,3315,32.3,70,75
395,3338,32.2,73,75
397,3349,32.3,76,75.83
399,3355,32.3,77,75
401,3354,32.2,76,75
403,3347,32.2,75,75.83
405,3338,32.2,73,75
407,3330,32.3,70,75
410,3314,32.3,69,75.83
412,3306,32.2,68,75
414,3306,32.2,67,75
416,3309,32.2,68,75.83
418,3321,32.3,70,75
420,3328,32.3,71,75
422,3341,32.3,73,75.83
424,3334,32.2,74,75
426,3346,32.2,75,75
428,3353,32.3,76,75.83
430,3355,32.3,76,75.83
432,3354,32.2,77,75
434,3358,32.3,76,75
436,3351,32.2,76,75.83
438,3349,32.2,76,75.83
440,3345,32.2,76,75
442,3344,32.3,75,75
444,3333,32.2,71,75
446,3315,32.2,69,75
448,3308,32.2,67,75.83
451,3314,32.2,69,75.83
453,3343,32.2,73,75
457,3337,32.2,72,75
459,3310,32.2,68,75
461,3312,32.2,68,75
463,3339,32.3,73,75
465,3350,32.2,76,74.17
467,3331,32.2,73,75
469,3312,32.2,69,75
471,3301,32.2,68,75
473,3322,32.2,70,75
475,3346,32.2,75,75.83
477,3353,32.2,76,75.83
479,3338,32.2,73,75.83
481,3317,32.2,69,75.83
483,3298,32.3,67,75
485,3313,32.3,69,75
